class	id	type	mark	chr	chr_cov	chr_covered_bp
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr16	0.0154034	1391767
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr17	0.0254941	2069995
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr18	0.0121975	952347
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr19	0.0278635	1647540
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr20	0.0282292	1779157
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr21	0.00982348	472803
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr22	0.0171368	879194
GI_INTESTINE	E109	Small Intestine	H3K27me3	chrX	0.00213685	331790
GI_INTESTINE	E109	Small Intestine	H3K27me3	chrY	0.000275695	16369
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr1	0.0155688	3880533
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr2	0.0117761	2863943
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr3	0.0117877	2334235
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr4	0.00729882	1395200
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr5	0.00993094	1796658
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr6	0.0104526	1788590
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr7	0.0115601	1839662
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr8	0.00848539	1241956
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr9	0.0124205	1753946
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr10	0.0123846	1678545
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr11	0.0151985	2051890
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr12	0.0164091	2196387
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr13	0.00639774	736827
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr14	0.012556	1347881
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr15	0.0135239	1386625
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr16	0.0216489	1956078
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr17	0.0285749	2320147
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr18	0.00747104	583318
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr19	0.0442306	2615312
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr20	0.0205556	1295526
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr21	0.0104948	505114
GI_INTESTINE	E109	Small Intestine	H3K36me3	chr22	0.0222872	1143435
GI_INTESTINE	E109	Small Intestine	H3K36me3	chrX	0.00253856	394164
GI_INTESTINE	E109	Small Intestine	H3K36me3	chrY	0.000418856	24869
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr1	0.0242375	6041214
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr2	0.0208398	5068218
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr3	0.0211145	4181147
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr4	0.0142474	2723452
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr5	0.0184181	3332115
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr6	0.0224263	3837479
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr7	0.0172917	2751784
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr8	0.0177655	2600227
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr9	0.0183365	2589354
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr10	0.023043	3123128
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr11	0.0233952	3158508
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr12	0.021848	2924394
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr13	0.0129482	1491244
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr14	0.0203601	2185650
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr15	0.0213844	2192571
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr16	0.0212837	1923080
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr17	0.0340471	2764462
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr18	0.0159723	1247075
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr19	0.0271983	1608209
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr20	0.0256489	1616534
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr21	0.013957	671747
GI_INTESTINE	E109	Small Intestine	H3K4me1	chr22	0.0222401	1141021
GI_INTESTINE	E109	Small Intestine	H3K4me1	chrX	0.00474832	737274
GI_INTESTINE	E109	Small Intestine	H3K4me1	chrY	0.000469283	27863
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr1	0.0102899	2564774
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr2	0.00789043	1918947
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr3	0.00780238	1545046
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr4	0.00601051	1148935
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr5	0.00717117	1297375
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr6	0.00907349	1552611
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr7	0.00834577	1328135
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr8	0.00698975	1023048
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr9	0.00774091	1093121
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr10	0.00840069	1138586
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr11	0.0105584	1425454
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr12	0.0102645	1373928
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr13	0.00511137	588676
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr14	0.00807558	866910
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr15	0.0083145	852497
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr16	0.0115638	1044840
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr17	0.0178047	1445657
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr18	0.00624593	487665
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr19	0.0275649	1629884
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr20	0.0105936	667664
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr21	0.00576608	277521
GI_INTESTINE	E109	Small Intestine	H3K4me3	chr22	0.0106648	547151
GI_INTESTINE	E109	Small Intestine	H3K4me3	chrX	0.00394512	612561
GI_INTESTINE	E109	Small Intestine	H3K4me3	chrY	0.000511305	30358
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr1	0.00527017	1313592
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr2	0.00583903	1420048
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr3	0.00623283	1234241
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr4	0.00690839	1320568
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr5	0.00836575	1513491
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr6	0.00632452	1082221
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr7	0.00982967	1564280
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr8	0.00729167	1067238
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr9	0.00538314	760172
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr10	0.00683831	926828
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr11	0.00683011	922109
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr12	0.00782193	1046980
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr13	0.00517617	596139
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr14	0.00603882	648265
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr15	0.00594068	609106
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr16	0.00907425	819902
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr17	0.00462586	375598
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr18	0.00586418	457859
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr19	0.0500288	2958151
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr20	0.00603194	380166
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr21	0.0108043	520011
GI_INTESTINE	E109	Small Intestine	H3K9me3	chr22	0.0029827	153026
GI_INTESTINE	E109	Small Intestine	H3K9me3	chrX	0.00202642	314643
GI_INTESTINE	E109	Small Intestine	H3K9me3	chrY	0.00221848	131719
LIVER	E066	Liver	H3K27ac	chr1	0.0436193	10872147
LIVER	E066	Liver	H3K27ac	chr2	0.0335095	8149494
LIVER	E066	Liver	H3K27ac	chr3	0.0345859	6848780
LIVER	E066	Liver	H3K27ac	chr4	0.0231828	4431491
LIVER	E066	Liver	H3K27ac	chr5	0.0298455	5399507
LIVER	E066	Liver	H3K27ac	chr6	0.0347919	5953417
LIVER	E066	Liver	H3K27ac	chr7	0.0324473	5163616
LIVER	E066	Liver	H3K27ac	chr8	0.0313598	4589942
LIVER	E066	Liver	H3K27ac	chr9	0.0373701	5277163
LIVER	E066	Liver	H3K27ac	chr10	0.0410758	5567202
LIVER	E066	Liver	H3K27ac	chr11	0.043122	5821755
LIVER	E066	Liver	H3K27ac	chr12	0.0405907	5433148
LIVER	E066	Liver	H3K27ac	chr13	0.0214718	2472907
LIVER	E066	Liver	H3K27ac	chr14	0.0325608	3495383
LIVER	E066	Liver	H3K27ac	chr15	0.0370128	3794977
LIVER	E066	Liver	H3K27ac	chr16	0.047836	4322211
LIVER	E066	Liver	H3K27ac	chr17	0.067609	5489529
LIVER	E066	Liver	H3K27ac	chr18	0.0285662	2230368
LIVER	E066	Liver	H3K27ac	chr19	0.0784443	4638330
LIVER	E066	Liver	H3K27ac	chr20	0.0474215	2988762
LIVER	E066	Liver	H3K27ac	chr21	0.0286833	1380526
LIVER	E066	Liver	H3K27ac	chr22	0.0545319	2797738
LIVER	E066	Liver	H3K27ac	chrX	0.014304	2220994
LIVER	E066	Liver	H3K27ac	chrY	0.000261109	15503
LIVER	E066	Liver	H3K27me3	chr1	0.00813042	2026511
LIVER	E066	Liver	H3K27me3	chr2	0.00825023	2006452
LIVER	E066	Liver	H3K27me3	chr3	0.00747547	1480311
LIVER	E066	Liver	H3K27me3	chr4	0.00784216	1499063
LIVER	E066	Liver	H3K27me3	chr5	0.00894735	1618712
LIVER	E066	Liver	H3K27me3	chr6	0.00953211	1631087
LIVER	E066	Liver	H3K27me3	chr7	0.00803061	1277980
LIVER	E066	Liver	H3K27me3	chr8	0.0093995	1375749
LIVER	E066	Liver	H3K27me3	chr9	0.00734043	1036567
LIVER	E066	Liver	H3K27me3	chr10	0.0102664	1391451
LIVER	E066	Liver	H3K27me3	chr11	0.00946534	1277883
LIVER	E066	Liver	H3K27me3	chr12	0.010396	1391526
LIVER	E066	Liver	H3K27me3	chr13	0.00769915	886710
LIVER	E066	Liver	H3K27me3	chr14	0.00826193	886914
LIVER	E066	Liver	H3K27me3	chr15	0.0101663	1042366
LIVER	E066	Liver	H3K27me3	chr16	0.00910858	823003
LIVER	E066	Liver	H3K27me3	chr17	0.0142893	1160220
LIVER	E066	Liver	H3K27me3	chr18	0.00687663	536908
LIVER	E066	Liver	H3K27me3	chr19	0.0109668	648458
LIVER	E066	Liver	H3K27me3	chr20	0.0173963	1096411
LIVER	E066	Liver	H3K27me3	chr21	0.00754766	363268
LIVER	E066	Liver	H3K27me3	chr22	0.00869299	445990
LIVER	E066	Liver	H3K27me3	chrX	0.00396809	616128
LIVER	E066	Liver	H3K27me3	chrY	8.01872e-05	4761
LIVER	E066	Liver	H3K36me3	chr1	0.0643481	16038810
LIVER	E066	Liver	H3K36me3	chr2	0.0538016	13084519
LIVER	E066	Liver	H3K36me3	chr3	0.0538022	10654033
LIVER	E066	Liver	H3K36me3	chr4	0.0369542	7063958
LIVER	E066	Liver	H3K36me3	chr5	0.0453162	8198396
LIVER	E066	Liver	H3K36me3	chr6	0.0454223	7772434
LIVER	E066	Liver	H3K36me3	chr7	0.0488802	7778735
LIVER	E066	Liver	H3K36me3	chr8	0.0401828	5881322
LIVER	E066	Liver	H3K36me3	chr9	0.0515558	7280370
LIVER	E066	Liver	H3K36me3	chr10	0.0552637	7490151
LIVER	E066	Liver	H3K36me3	chr11	0.061004	8235937
LIVER	E066	Liver	H3K36me3	chr12	0.0687513	9202498
LIVER	E066	Liver	H3K36me3	chr13	0.0326869	3764547
LIVER	E066	Liver	H3K36me3	chr14	0.0541608	5814137
LIVER	E066	Liver	H3K36me3	chr15	0.0596765	6118711
LIVER	E066	Liver	H3K36me3	chr16	0.0737084	6659907
LIVER	E066	Liver	H3K36me3	chr17	0.0992266	8056724
LIVER	E066	Liver	H3K36me3	chr18	0.0377385	2946522
LIVER	E066	Liver	H3K36me3	chr19	0.132614	7841340
LIVER	E066	Liver	H3K36me3	chr20	0.0704816	4442140
LIVER	E066	Liver	H3K36me3	chr21	0.0402989	1939580
LIVER	E066	Liver	H3K36me3	chr22	0.069523	3566848
LIVER	E066	Liver	H3K36me3	chrX	0.0220943	3430588
LIVER	E066	Liver	H3K36me3	chrY	3.55377e-06	211
LIVER	E066	Liver	H3K4me1	chr1	0.0563586	14047412
LIVER	E066	Liver	H3K4me1	chr2	0.046081	11206875
LIVER	E066	Liver	H3K4me1	chr3	0.0492273	9748107
LIVER	E066	Liver	H3K4me1	chr4	0.0338413	6468917
LIVER	E066	Liver	H3K4me1	chr5	0.0412999	7471774
LIVER	E066	Liver	H3K4me1	chr6	0.0476734	8157638
LIVER	E066	Liver	H3K4me1	chr7	0.0438426	6977056
LIVER	E066	Liver	H3K4me1	chr8	0.0427404	6255659
LIVER	E066	Liver	H3K4me1	chr9	0.0470221	6640149
LIVER	E066	Liver	H3K4me1	chr10	0.0530872	7195155
LIVER	E066	Liver	H3K4me1	chr11	0.0569999	7695360
LIVER	E066	Liver	H3K4me1	chr12	0.0550614	7370068
LIVER	E066	Liver	H3K4me1	chr13	0.0301946	3477514
LIVER	E066	Liver	H3K4me1	chr14	0.0435275	4672654
LIVER	E066	Liver	H3K4me1	chr15	0.0484954	4972299
LIVER	E066	Liver	H3K4me1	chr16	0.0592356	5352222
LIVER	E066	Liver	H3K4me1	chr17	0.0833552	6768046
LIVER	E066	Liver	H3K4me1	chr18	0.0376787	2941849
LIVER	E066	Liver	H3K4me1	chr19	0.0824008	4872278
LIVER	E066	Liver	H3K4me1	chr20	0.0620019	3907699
LIVER	E066	Liver	H3K4me1	chr21	0.033132	1594640
LIVER	E066	Liver	H3K4me1	chr22	0.0668095	3427634
LIVER	E066	Liver	H3K4me1	chrX	0.0195983	3043040
LIVER	E066	Liver	H3K4me1	chrY	6.09699e-06	362
LIVER	E066	Liver	H3K4me3	chr1	0.0195088	4862592
LIVER	E066	Liver	H3K4me3	chr2	0.0150916	3670272
LIVER	E066	Liver	H3K4me3	chr3	0.0156345	3095976
LIVER	E066	Liver	H3K4me3	chr4	0.0136123	2602044
LIVER	E066	Liver	H3K4me3	chr5	0.0157824	2855285
LIVER	E066	Liver	H3K4me3	chr6	0.0174855	2992030
LIVER	E066	Liver	H3K4me3	chr7	0.0175422	2791642
LIVER	E066	Liver	H3K4me3	chr8	0.0143962	2107085
LIVER	E066	Liver	H3K4me3	chr9	0.0151744	2142830
LIVER	E066	Liver	H3K4me3	chr10	0.0177875	2410826
LIVER	E066	Liver	H3K4me3	chr11	0.0197437	2665526
LIVER	E066	Liver	H3K4me3	chr12	0.0214275	2868113
LIVER	E066	Liver	H3K4me3	chr13	0.0100904	1162105
LIVER	E066	Liver	H3K4me3	chr14	0.014771	1585662
LIVER	E066	Liver	H3K4me3	chr15	0.015362	1575084
LIVER	E066	Liver	H3K4me3	chr16	0.0219405	1982433
LIVER	E066	Liver	H3K4me3	chr17	0.0287138	2331421
LIVER	E066	Liver	H3K4me3	chr18	0.0129278	1009367
LIVER	E066	Liver	H3K4me3	chr19	0.0869962	5143999
LIVER	E066	Liver	H3K4me3	chr20	0.017977	1133010
LIVER	E066	Liver	H3K4me3	chr21	0.0123575	594765
LIVER	E066	Liver	H3K4me3	chr22	0.0180424	925657
LIVER	E066	Liver	H3K4me3	chrX	0.00833202	1293718
LIVER	E066	Liver	H3K4me3	chrY	0.00137618	81709
LIVER	E066	Liver	H3K9me3	chr1	0.0200836	5005859
LIVER	E066	Liver	H3K9me3	chr2	0.0241047	5862259
LIVER	E066	Liver	H3K9me3	chr3	0.0243293	4817741
LIVER	E066	Liver	H3K9me3	chr4	0.0296146	5660966
LIVER	E066	Liver	H3K9me3	chr5	0.0326322	5903661
LIVER	E066	Liver	H3K9me3	chr6	0.0247493	4234983
LIVER	E066	Liver	H3K9me3	chr7	0.0333296	5304033
LIVER	E066	Liver	H3K9me3	chr8	0.0286515	4193551
LIVER	E066	Liver	H3K9me3	chr9	0.0197493	2788872
LIVER	E066	Liver	H3K9me3	chr10	0.0271622	3681422
LIVER	E066	Liver	H3K9me3	chr11	0.0272246	3675497
LIVER	E066	Liver	H3K9me3	chr12	0.0283574	3795686
LIVER	E066	Liver	H3K9me3	chr13	0.0209137	2408626
LIVER	E066	Liver	H3K9me3	chr14	0.0206468	2216424
LIVER	E066	Liver	H3K9me3	chr15	0.0193616	1985174
LIVER	E066	Liver	H3K9me3	chr16	0.0298577	2697782
LIVER	E066	Liver	H3K9me3	chr17	0.016574	1345727
LIVER	E066	Liver	H3K9me3	chr18	0.0239393	1869116
LIVER	E066	Liver	H3K9me3	chr19	0.132814	7853130
LIVER	E066	Liver	H3K9me3	chr20	0.0233987	1474714
LIVER	E066	Liver	H3K9me3	chr21	0.0231588	1114629
LIVER	E066	Liver	H3K9me3	chr22	0.0119442	612793
LIVER	E066	Liver	H3K9me3	chrX	0.0423806	6580462
LIVER	E066	Liver	H3K9me3	chrY	0.00387844	230277
LUNG	E096	Lung	H3K27ac	chr1	0.0312802	7796612
LUNG	E096	Lung	H3K27ac	chr2	0.0237496	5775880
LUNG	E096	Lung	H3K27ac	chr3	0.0246093	4873196
LUNG	E096	Lung	H3K27ac	chr4	0.0124929	2388063
LUNG	E096	Lung	H3K27ac	chr5	0.0200302	3623760
LUNG	E096	Lung	H3K27ac	chr6	0.0229197	3921911
LUNG	E096	Lung	H3K27ac	chr7	0.021303	3390133
LUNG	E096	Lung	H3K27ac	chr8	0.0198632	2907252
LUNG	E096	Lung	H3K27ac	chr9	0.0252257	3562205
LUNG	E096	Lung	H3K27ac	chr10	0.0292831	3968879
LUNG	E096	Lung	H3K27ac	chr11	0.0333651	4504511
LUNG	E096	Lung	H3K27ac	chr12	0.0284864	3812953
LUNG	E096	Lung	H3K27ac	chr13	0.0133907	1542208
LUNG	E096	Lung	H3K27ac	chr14	0.0245369	2634025
LUNG	E096	Lung	H3K27ac	chr15	0.0272236	2791269
LUNG	E096	Lung	H3K27ac	chr16	0.0393079	3551657
LUNG	E096	Lung	H3K27ac	chr17	0.0619291	5028345
LUNG	E096	Lung	H3K27ac	chr18	0.0175002	1366371
LUNG	E096	Lung	H3K27ac	chr19	0.0717843	4244535
LUNG	E096	Lung	H3K27ac	chr20	0.03889	2451064
LUNG	E096	Lung	H3K27ac	chr21	0.0211299	1016979
LUNG	E096	Lung	H3K27ac	chr22	0.0463843	2379726
LUNG	E096	Lung	H3K27ac	chrX	0.00956905	1485791
LUNG	E096	Lung	H3K27ac	chrY	4.02536e-06	239
LUNG	E096	Lung	H3K27me3	chr1	0.00733456	1828144
LUNG	E096	Lung	H3K27me3	chr2	0.00577142	1403605
LUNG	E096	Lung	H3K27me3	chr3	0.00373073	738768
LUNG	E096	Lung	H3K27me3	chr4	0.0039828	761330
LUNG	E096	Lung	H3K27me3	chr5	0.0057636	1042724
LUNG	E096	Lung	H3K27me3	chr6	0.00504593	863435
LUNG	E096	Lung	H3K27me3	chr7	0.00605496	963579
LUNG	E096	Lung	H3K27me3	chr8	0.00620272	907855
LUNG	E096	Lung	H3K27me3	chr9	0.00561413	792791
LUNG	E096	Lung	H3K27me3	chr10	0.00862478	1168957
LUNG	E096	Lung	H3K27me3	chr11	0.00705427	952373
LUNG	E096	Lung	H3K27me3	chr12	0.00740069	990597
LUNG	E096	Lung	H3K27me3	chr13	0.00423109	487294
LUNG	E096	Lung	H3K27me3	chr14	0.00625262	671216
LUNG	E096	Lung	H3K27me3	chr15	0.00676136	693252
LUNG	E096	Lung	H3K27me3	chr16	0.00930593	840835
LUNG	E096	Lung	H3K27me3	chr17	0.0103564	840889
LUNG	E096	Lung	H3K27me3	chr18	0.00520155	406123
LUNG	E096	Lung	H3K27me3	chr19	0.0141018	833825
LUNG	E096	Lung	H3K27me3	chr20	0.0161946	1020674
LUNG	E096	Lung	H3K27me3	chr21	0.00458434	220644
LUNG	E096	Lung	H3K27me3	chr22	0.00962033	493567
LUNG	E096	Lung	H3K27me3	chrX	0.0287462	4463442
LUNG	E096	Lung	H3K27me3	chrY	8.05072e-05	4780
LUNG	E096	Lung	H3K36me3	chr1	0.032818	8179912
LUNG	E096	Lung	H3K36me3	chr2	0.0246265	5989145
LUNG	E096	Lung	H3K36me3	chr3	0.0257986	5108701
LUNG	E096	Lung	H3K36me3	chr4	0.0152759	2920048
LUNG	E096	Lung	H3K36me3	chr5	0.0202278	3659509
LUNG	E096	Lung	H3K36me3	chr6	0.0220617	3775083
LUNG	E096	Lung	H3K36me3	chr7	0.0271228	4316291
LUNG	E096	Lung	H3K36me3	chr8	0.0195902	2867299
LUNG	E096	Lung	H3K36me3	chr9	0.0286064	4039607
LUNG	E096	Lung	H3K36me3	chr10	0.0279534	3788657
LUNG	E096	Lung	H3K36me3	chr11	0.0346014	4671408
LUNG	E096	Lung	H3K36me3	chr12	0.0343494	4597738
LUNG	E096	Lung	H3K36me3	chr13	0.0141706	1632025
LUNG	E096	Lung	H3K36me3	chr14	0.0261251	2804518
LUNG	E096	Lung	H3K36me3	chr15	0.0288391	2956918
LUNG	E096	Lung	H3K36me3	chr16	0.0534795	4832124
LUNG	E096	Lung	H3K36me3	chr17	0.0691845	5617452
LUNG	E096	Lung	H3K36me3	chr18	0.0169318	1321986
LUNG	E096	Lung	H3K36me3	chr19	0.10443	6174816
LUNG	E096	Lung	H3K36me3	chr20	0.0478984	3018822
LUNG	E096	Lung	H3K36me3	chr21	0.0248465	1195861
LUNG	E096	Lung	H3K36me3	chr22	0.0575155	2950806
LUNG	E096	Lung	H3K36me3	chrX	0.00775826	1204630
LUNG	E096	Lung	H3K36me3	chrY	8.11809e-06	482
LUNG	E096	Lung	H3K4me1	chr1	0.0305688	7619283
LUNG	E096	Lung	H3K4me1	chr2	0.0268256	6523968
LUNG	E096	Lung	H3K4me1	chr3	0.0252559	5001225
LUNG	E096	Lung	H3K4me1	chr4	0.0142417	2722359
LUNG	E096	Lung	H3K4me1	chr5	0.0217274	3930826
LUNG	E096	Lung	H3K4me1	chr6	0.0232845	3984324
LUNG	E096	Lung	H3K4me1	chr7	0.0237089	3773000
LUNG	E096	Lung	H3K4me1	chr8	0.0230441	3372829
LUNG	E096	Lung	H3K4me1	chr9	0.0260493	3678506
LUNG	E096	Lung	H3K4me1	chr10	0.033085	4484174
LUNG	E096	Lung	H3K4me1	chr11	0.0330204	4457972
LUNG	E096	Lung	H3K4me1	chr12	0.0264594	3541646
LUNG	E096	Lung	H3K4me1	chr13	0.0154782	1782626
LUNG	E096	Lung	H3K4me1	chr14	0.0251083	2695368
LUNG	E096	Lung	H3K4me1	chr15	0.0282846	2900063
LUNG	E096	Lung	H3K4me1	chr16	0.0373496	3374715
LUNG	E096	Lung	H3K4me1	chr17	0.0539479	4380312
LUNG	E096	Lung	H3K4me1	chr18	0.0218536	1706272
LUNG	E096	Lung	H3K4me1	chr19	0.0572681	3386202
LUNG	E096	Lung	H3K4me1	chr20	0.0408414	2574049
LUNG	E096	Lung	H3K4me1	chr21	0.02126	1023243
LUNG	E096	Lung	H3K4me1	chr22	0.0440331	2259097
LUNG	E096	Lung	H3K4me1	chrX	0.00754849	1172059
LUNG	E096	Lung	H3K4me1	chrY	6.28226e-05	3730
LUNG	E096	Lung	H3K4me3	chr1	0.0119006	2966227
LUNG	E096	Lung	H3K4me3	chr2	0.00945974	2300602
LUNG	E096	Lung	H3K4me3	chr3	0.00963061	1907076
LUNG	E096	Lung	H3K4me3	chr4	0.00738624	1411911
LUNG	E096	Lung	H3K4me3	chr5	0.00904915	1637130
LUNG	E096	Lung	H3K4me3	chr6	0.0105557	1806245
LUNG	E096	Lung	H3K4me3	chr7	0.0101371	1613197
LUNG	E096	Lung	H3K4me3	chr8	0.00898756	1315456
LUNG	E096	Lung	H3K4me3	chr9	0.00949791	1341233
LUNG	E096	Lung	H3K4me3	chr10	0.0103662	1404979
LUNG	E096	Lung	H3K4me3	chr11	0.012424	1677324
LUNG	E096	Lung	H3K4me3	chr12	0.0121229	1622673
LUNG	E096	Lung	H3K4me3	chr13	0.0065079	749514
LUNG	E096	Lung	H3K4me3	chr14	0.00969297	1040536
LUNG	E096	Lung	H3K4me3	chr15	0.00977105	1001839
LUNG	E096	Lung	H3K4me3	chr16	0.0142414	1286781
LUNG	E096	Lung	H3K4me3	chr17	0.0204325	1659023
LUNG	E096	Lung	H3K4me3	chr18	0.00798222	623230
LUNG	E096	Lung	H3K4me3	chr19	0.0310554	1836272
LUNG	E096	Lung	H3K4me3	chr20	0.0137323	865484
LUNG	E096	Lung	H3K4me3	chr21	0.00700722	337257
LUNG	E096	Lung	H3K4me3	chr22	0.0127659	654949
LUNG	E096	Lung	H3K4me3	chrX	0.00694397	1078194
LUNG	E096	Lung	H3K4me3	chrY	0.000146833	8718
LUNG	E096	Lung	H3K9me3	chr1	0.0259649	6471775
LUNG	E096	Lung	H3K9me3	chr2	0.0277204	6741596
LUNG	E096	Lung	H3K9me3	chr3	0.0245404	4859559
LUNG	E096	Lung	H3K9me3	chr4	0.0273551	5229038
LUNG	E096	Lung	H3K9me3	chr5	0.0304665	5511862
LUNG	E096	Lung	H3K9me3	chr6	0.0260718	4461286
LUNG	E096	Lung	H3K9me3	chr7	0.0337787	5375505
LUNG	E096	Lung	H3K9me3	chr8	0.030264	4429556
LUNG	E096	Lung	H3K9me3	chr9	0.0231499	3269079
LUNG	E096	Lung	H3K9me3	chr10	0.0329027	4459453
LUNG	E096	Lung	H3K9me3	chr11	0.0277938	3752344
LUNG	E096	Lung	H3K9me3	chr12	0.030625	4099219
LUNG	E096	Lung	H3K9me3	chr13	0.0232902	2682328
LUNG	E096	Lung	H3K9me3	chr14	0.0250911	2693522
LUNG	E096	Lung	H3K9me3	chr15	0.0246254	2524877
LUNG	E096	Lung	H3K9me3	chr16	0.0351781	3178508
LUNG	E096	Lung	H3K9me3	chr17	0.0278259	2259328
LUNG	E096	Lung	H3K9me3	chr18	0.028825	2250574
LUNG	E096	Lung	H3K9me3	chr19	0.0911914	5392053
LUNG	E096	Lung	H3K9me3	chr20	0.0396617	2499699
LUNG	E096	Lung	H3K9me3	chr21	0.0281033	1352611
LUNG	E096	Lung	H3K9me3	chr22	0.0259378	1330728
LUNG	E096	Lung	H3K9me3	chrX	0.041383	6425569
LUNG	E096	Lung	H3K9me3	chrY	0.00266713	158357
PLACENTA	E091	Placenta	H3K27ac	chr1	0.0361193	9002749
PLACENTA	E091	Placenta	H3K27ac	chr2	0.0262714	6389187
PLACENTA	E091	Placenta	H3K27ac	chr3	0.0266253	5272411
PLACENTA	E091	Placenta	H3K27ac	chr4	0.016764	3204511
PLACENTA	E091	Placenta	H3K27ac	chr5	0.0235881	4267442
PLACENTA	E091	Placenta	H3K27ac	chr6	0.02954	5054735
PLACENTA	E091	Placenta	H3K27ac	chr7	0.0276982	4407855
